,Wish You Were Here by Pink Floyd,A-Punk by Vampire Weekend,I'm a Mess by Bebe Rexha,Fight Song by Rachel Platten,Good as Hell by Lizzo,Lemon by N.E.R.D
Breach by Erra,0.9623929780874154,0.9567443898404722,0.9642125441117071,0.9444039011557235,0.9475643711599508,0.944678740424409
From The Bottom by Albee Al,0.9456945360190648,0.9393026846669494,0.9562488009792784,0.9262117040143418,0.9435243576445678,0.9421693134348321
Empiricist by Typhoon,0.9641692399684433,0.9552333722310526,0.9636792192972443,0.9361477540077199,0.9478077250215531,0.9446969272032851
Feel Bad 4 You by BoyGenius,0.94911060796784,0.9388129804861708,0.9566013723032732,0.9291827410071203,0.9447397351602038,0.9448150464395977
Help Me by (G)I-DLE,0.9661882739445194,0.9559701935032006,0.9690727091372606,0.9454991970691031,0.9519168478703659,0.9524618514417376
I'll Make You Sorry by Screaming Females,0.9678461577311532,0.9601545977301645,0.9683782884909301,0.9436470709394875,0.953058891448533,0.9500192057305967
I Be U Be by High Valley,0.9687735374686263,0.9589419070545762,0.9717969153762767,0.9475636356589155,0.9556699999505789,0.9549906374631155
The Weight by Jason Manns,0.9567584240807891,0.9465962979011175,0.9631599321449398,0.938595811430381,0.9463132086959223,0.950168366736327
A-Okay by Grieves,0.9638689059355243,0.954453990264903,0.9682409558390288,0.9447927251047468,0.9500281722014347,0.953570266124492
The Love You Let Too Close by Thousand Below,0.964138998333425,0.9593513006184844,0.9662336034775856,0.9453694056041009,0.95362460838299,0.9461030632318286
Be Seeing You by Soccer Mommy,0.9660753531320189,0.9591871271124892,0.96411071995265,0.9521681968221856,0.9465989451396166,0.94598334195736
All or Nothing by Demetria McKinney,0.9640214667877601,0.9549280108692803,0.9686424609102112,0.947894437215479,0.9533854926801999,0.9535206577697231
Young in My Head by Starflyer 59,0.9718933229126256,0.9632091424259392,0.9702149803223826,0.9476335787391998,0.9573226938747181,0.9507931557452127
The Time I've Wasted by Lori McKenna,0.9600811915971921,0.9532637001994726,0.9597842848758493,0.9477730694232651,0.9483716150986825,0.9426917461990124
Ways To Disappear by Palisades,0.9648065770359653,0.9579804551513785,0.9727409506166427,0.9567956073431566,0.9591557191827484,0.9615497405410729
All-American Boy by Steve Grand,0.9670009397691411,0.9608159098297407,0.9713839142181728,0.9469167383942423,0.9569680482076766,0.953833651236229
Degenerates by I The Mighty,0.9649411584717167,0.9600285821748558,0.966939530811262,0.9492152879132806,0.9508884931907984,0.9477887238231618
Body by Loud Luxury,0.9482120635479886,0.9433910063989799,0.957974327753703,0.9503119916193042,0.9364875433769227,0.9449649250271571
Everybody Needs Somebody by Hiss Golden Messenger,0.965360273731535,0.9571844460507191,0.9638239237486775,0.9384784613621623,0.9525496921378054,0.9448530703028478
Get Got by Death Grips,0.960865414756785,0.9543349893125292,0.9633925727158856,0.9419799390376304,0.9496521093545743,0.9457327172972083
Hobbit Drinking Medley by Peter Hollens,0.9493068459855815,0.9464590930584977,0.9533054207445658,0.9520605130359638,0.9350222386336753,0.936914883573138
Santa Diss Track by Logan Paul,0.9566444448814935,0.9501290752976217,0.9658500914916964,0.9420310469985688,0.9511633165021502,0.9492754486477154
Let Me Know (feat. Tori Solkowski) by Witt Lowry,0.9565933880000604,0.9442865912004834,0.9584011929291087,0.9338073983749512,0.944112709914746,0.9422292867603654
Problems (feat. Quando Rondo & Lil Durk) by Shy Glizzy,0.9565754217026053,0.9479596205216154,0.9644437433954042,0.9434306530114691,0.951339487340329,0.9552502580845424
They Always Come Back by Misery Index,0.9650208863614628,0.9616215468683296,0.9722997974887062,0.9469671777542368,0.9599198121248838,0.9553949811935587
Younger Years by The Milk Carton Kids,0.9701967117852767,0.9568781226942888,0.9691044824764425,0.9435579359199229,0.9499222855482987,0.9519128310374505
