,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
60,Invisible Enemy,August Burns Red,277693,52,2017-10-06,,4gSokjaAfP1W9NTfkolzdJ,5p9CTsn5ueGU4oScNX1axu
61,White Washed,August Burns Red,226253,51,2009,https://p.scdn.co/mp3-preview/064f896f54b99c7cfad250ed1ea7b1eea3be070f?cid=80aa7a928c4541428fab1590b72d13b5,5xcYdoWHur82zA5KYHlgJk,5p9CTsn5ueGU4oScNX1axu
62,The Legend Of Zelda,August Burns Red,248453,50,2019-01-11,,5aaRKAxnbEwyFJ77AweDUW,5p9CTsn5ueGU4oScNX1axu
63,Mariana's Trench,August Burns Red,258106,50,2009,https://p.scdn.co/mp3-preview/65038bef6336c3bb2af604e0729d03c602b4ad11?cid=80aa7a928c4541428fab1590b72d13b5,6E4DqnxPVMoVrtOyf0DJhG,5p9CTsn5ueGU4oScNX1axu
64,King Of Sorrow,August Burns Red,245573,49,2017-10-06,,2WGvE49mGYsM17U9hnCrvI,5p9CTsn5ueGU4oScNX1axu
65,The Frost,August Burns Red,286600,48,2017-10-06,,1NAmER373RbdeWB0i07VO6,5p9CTsn5ueGU4oScNX1axu
66,Ghosts,August Burns Red,289188,47,2015-01-01,,6pvtHYK8YwNDbfmKPljvIo,5p9CTsn5ueGU4oScNX1axu
67,Dangerous,August Burns Red,263293,46,2017-10-06,,6nrNAXtMMz57dKez4Ry3g8,5p9CTsn5ueGU4oScNX1axu
68,Composure,August Burns Red,253373,45,2007,https://p.scdn.co/mp3-preview/250e8413fc163fed07cd533862c8c4fd4c995d2b?cid=80aa7a928c4541428fab1590b72d13b5,3xtu0ECoDDexecQwPjM3oI,5p9CTsn5ueGU4oScNX1axu
69,Wrecking Ball,August Burns Red,253053,39,2014-11-17,,1dHklWqi0PRH51Xb7WiiYu,5p9CTsn5ueGU4oScNX1axu
70,God Only Knows,for KING & COUNTRY,229760,68,2018-10-05,https://p.scdn.co/mp3-preview/431abe1285e2abb8da357325c66af9216a030524?cid=80aa7a928c4541428fab1590b72d13b5,4ElNxglBjcrASiGn58t9Jm,3sDbKMebVH2VYcRSl7u1VC
71,joy.,for KING & COUNTRY,233946,64,2018-10-05,https://p.scdn.co/mp3-preview/91c2180ea6a0c21a700539d2edcc831f952847f3?cid=80aa7a928c4541428fab1590b72d13b5,0vBjd0I8iefycEZ2ex1Zpi,3sDbKMebVH2VYcRSl7u1VC
72,God Only Knows (R3HAB Remix),for KING & COUNTRY,155000,62,2019-04-26,https://p.scdn.co/mp3-preview/e9e19b4a1528a2d933861e69f120b0ec2ce45368?cid=80aa7a928c4541428fab1590b72d13b5,7CTyBvcRHWso8oUcvyNkLt,3sDbKMebVH2VYcRSl7u1VC
