,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
72,Truth,TVXQ!,177282,50,12/26/18,https://p.scdn.co/mp3-preview/fb686ef091f267c7a37c7bf953f8717f328343e2?cid=80aa7a928c4541428fab1590b72d13b5,3O5CrJjatffDXBtVUK4XB5,6nVMMEywS5Y4tsHPKx1nIo
73,City Lights (U-Know Solo),TVXQ!,203684,47,12/26/18,https://p.scdn.co/mp3-preview/e9b87cb1090cf567cd7ba623d8dd891dd11ee0b3?cid=80aa7a928c4541428fab1590b72d13b5,5Ys4Y4sHPw6vIP84ID48KY,6nVMMEywS5Y4tsHPKx1nIo
74,평행선 Love Line,TVXQ!,195960,46,3/28/18,https://p.scdn.co/mp3-preview/ea8e5afc72460b2664955409fd9dcf517b4c4872?cid=80aa7a928c4541428fab1590b72d13b5,3gsOAmZ9E4XlyQvzIKJT8d,6nVMMEywS5Y4tsHPKx1nIo
75,Catch Me,TVXQ!,278707,42,5/22/14,https://p.scdn.co/mp3-preview/57b467c556929f3c2ce6ae5ea669cda197b32d42?cid=80aa7a928c4541428fab1590b72d13b5,2jZROo6qGuNBg630bDSvfE,6nVMMEywS5Y4tsHPKx1nIo
76,"""O"" -正.反.合. - Rearranged",TVXQ!,334973,40,5/22/14,https://p.scdn.co/mp3-preview/8a7ba90818744791230024fc9cf4e23a56377043?cid=80aa7a928c4541428fab1590b72d13b5,3RYPF6Ejzo2BnymBkKmu45,6nVMMEywS5Y4tsHPKx1nIo
77,Something,TVXQ!,241375,40,1/6/14,https://p.scdn.co/mp3-preview/021c4037b063e0f5da0fd9d9f1b2c23f572301e9?cid=80aa7a928c4541428fab1590b72d13b5,3bEbqaDdECyZg8CUDYKEGY,6nVMMEywS5Y4tsHPKx1nIo
78,Jealous,TVXQ!,196693,38,11/21/18,https://p.scdn.co/mp3-preview/6e133dfacdd7a320aac19acd228a2812595b1280?cid=80aa7a928c4541428fab1590b72d13b5,2O5BtIja9abuxpJUMBeCk6,6nVMMEywS5Y4tsHPKx1nIo
79,이것만은 알고 가 (Before U Go),TVXQ!,303372,37,5/22/14,https://p.scdn.co/mp3-preview/4dd2c8a6c744b7770526990157e1582a3eebf77b?cid=80aa7a928c4541428fab1590b72d13b5,72Rz73NuMRUcIAYvXtUSaL,6nVMMEywS5Y4tsHPKx1nIo
80,Dominate Me,Fight The Fury,226320,51,10/26/18,https://p.scdn.co/mp3-preview/b2b7bf327d1a8725d1c4fb0fa9aeb7c7369b499f?cid=80aa7a928c4541428fab1590b72d13b5,4Pf95KrUvj48z2ChGNA5Ye,0y6TDfwRN2HEHcFizxp1Je
81,My Demons,Fight The Fury,249313,45,9/28/18,https://p.scdn.co/mp3-preview/9ae211d959166f70af1c1cc5438de095781b2a5e?cid=80aa7a928c4541428fab1590b72d13b5,0Xc10VsL1RS4MoGqct0Zw9,0y6TDfwRN2HEHcFizxp1Je
